,section,date,week,team_name,abbr_team_name,home-away,result,score,start-time,gym,place,address,date_DT,distance_s,distance,accum
0,1,2018/10/4,木,千葉ジェッツ,千葉,HOME,LOSE,72,19:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-04,0 Km,0.0,0.0
1,1,2018/10/6,土,千葉ジェッツ,千葉,HOME,LOSE,66,15:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-06,0 km,0.0,0.0
2,2,2018/10/13,土,千葉ジェッツ,千葉,HOME,WIN,70,17:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-13,0 km,0.0,0.0
3,2,2018/10/14,日,千葉ジェッツ,千葉,HOME,WIN,73,16:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-14,0 km,0.0,0.0
4,3,2018/10/17,水,千葉ジェッツ,千葉,AWAY,WIN,93,19:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１,2018-10-17,"1,032 km",1032.0,1032.0
5,4,2018/10/20,土,千葉ジェッツ,千葉,HOME,WIN,98,17:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-20,"1,032 km",1032.0,2064.0
6,4,2018/10/21,日,千葉ジェッツ,千葉,HOME,WIN,94,15:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-21,0 km,0.0,2064.0
7,5,2018/10/24,水,千葉ジェッツ,千葉,HOME,WIN,110,19:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-24,0 km,0.0,2064.0
8,6,2018/10/27,土,千葉ジェッツ,千葉,AWAY,WIN,80,18:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５,2018-10-27,532 km,532.0,2596.0
9,6,2018/10/28,日,千葉ジェッツ,千葉,AWAY,WIN,77,14:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５,2018-10-28,0 km,0.0,2596.0
0,1,2018/10/6,土,秋田ノーザンハピネッツ,秋田,HOME,LOSE,67,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,秋田ノーザンハピネッツ,秋田,HOME,LOSE,66,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号,2018-10-07,0 km,0.0,0.0
2,2,2018/10/11,木,秋田ノーザンハピネッツ,秋田,AWAY,LOSE,74,19:05,新潟市東総合スポーツセンター,新潟市,新潟県新潟市東区はなみずき３丁目４−１,2018-10-11,246 km,246.0,246.0
3,2,2018/10/12,金,秋田ノーザンハピネッツ,秋田,AWAY,LOSE,92,19:05,新潟市東総合スポーツセンター,新潟市,新潟県新潟市東区はなみずき３丁目４−１,2018-10-12,0 km,0.0,246.0
4,3,2018/10/17,水,秋田ノーザンハピネッツ,秋田,AWAY,WIN,63,19:05,墨田区総合体育館,東京都,東京都墨田区錦糸４丁目１５−１,2018-10-17,325 km,325.0,571.0
5,4,2018/10/20,土,秋田ノーザンハピネッツ,秋田,HOME,WIN,72,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号,2018-10-20,531 km,531.0,1102.0
6,4,2018/10/21,日,秋田ノーザンハピネッツ,秋田,HOME,WIN,73,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号,2018-10-21,0 km,0.0,1102.0
7,5,2018/10/24,水,秋田ノーザンハピネッツ,秋田,HOME,LOSE,74,19:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号,2018-10-24,0 km,0.0,1102.0
8,6,2018/10/27,土,秋田ノーザンハピネッツ,秋田,AWAY,LOSE,75,18:05,富山県総合体育センター,富山市,富山県富山市秋ケ島１８３,2018-10-27,491 km,491.0,1593.0
9,6,2018/10/28,日,秋田ノーザンハピネッツ,秋田,AWAY,LOSE,80,13:05,富山県総合体育センター,富山市,富山県富山市秋ケ島１８３,2018-10-28,0 km,0.0,1593.0
0,1,2018/10/6,土,三遠ネオフェニックス,三遠,HOME,WIN,77,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,三遠ネオフェニックス,三遠,HOME,LOSE,88,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３,2018-10-07,0 km,0.0,0.0
2,2,2018/10/13,土,三遠ネオフェニックス,三遠,AWAY,LOSE,60,17:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-13,316 km,316.0,316.0
3,2,2018/10/14,日,三遠ネオフェニックス,三遠,AWAY,LOSE,56,16:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-14,0 km,0.0,316.0
4,3,2018/10/17,水,三遠ネオフェニックス,三遠,AWAY,LOSE,48,19:05,シティホールプラザアオーレ長岡,長岡市,新潟県長岡市大手通１丁目４−１０,2018-10-17,279 km,279.0,595.0
