section,date,week,team_name,abbr_team_name,home-away,result,score,start-time,gym,place,address
5,2018/10/24,水,アルバルク東京,東京,AWAY,WIN,62,19:05,墨田区総合体育館,東京都,東京都墨田区錦糸４丁目１５−１
5,2018/10/24,水,三遠ネオフェニックス,三遠,AWAY,WIN,65,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３
5,2018/10/24,水,新潟アルビレックスBB,新潟,AWAY,WIN,88,19:05,横浜国際プール,横浜市,神奈川県横浜市都筑区北山田７−３−１
5,2018/10/24,水,富山グラウジーズ,富山,AWAY,LOSE,71,19:05,ウィングアリーナ刈谷,刈谷市,愛知県刈谷市築地町荒田1
5,2018/10/24,水,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,WIN,84,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
5,2018/10/24,水,京都ハンナリーズ,京都,AWAY,WIN,81,19:05,北九州市総合体育館,北九州市,福岡県北九州市八幡東区八王寺町４−１
5,2018/10/24,水,大阪エヴェッサ,大阪,AWAY,LOSE,48,20:05,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
6,2018/10/26,金,川崎ブレイブサンダース,川崎,AWAY,LOSE,60,20:05,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
6,2018/10/27,土,川崎ブレイブサンダース,川崎,AWAY,WIN,75,15:25,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
6,2018/10/27,土,ライジングゼファー福岡,福岡,AWAY,LOSE,78,16:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
6,2018/10/27,土,横浜ビー・コルセアーズ,横浜,AWAY,WIN,84,18:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５
6,2018/10/27,土,三遠ネオフェニックス,三遠,AWAY,LOSE,54,18:05,リージョンプラザ上越,上越市,新潟県上越市下門前４４６−２
6,2018/10/27,土,秋田ノーザンハピネッツ,秋田,AWAY,LOSE,75,18:05,富山県総合体育センター,富山市,富山県富山市秋ケ島１８３
6,2018/10/27,土,アルバルク東京,東京,AWAY,WIN,77,18:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町
6,2018/10/27,土,千葉ジェッツ,千葉,AWAY,WIN,80,18:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５
6,2018/10/28,日,秋田ノーザンハピネッツ,秋田,AWAY,LOSE,80,13:05,富山県総合体育センター,富山市,富山県富山市秋ケ島１８３
6,2018/10/28,日,横浜ビー・コルセアーズ,横浜,AWAY,LOSE,73,14:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５
6,2018/10/28,日,三遠ネオフェニックス,三遠,AWAY,WIN,91,14:05,リージョンプラザ上越,上越市,新潟県上越市下門前４４６−２
6,2018/10/28,日,アルバルク東京,東京,AWAY,LOSE,70,14:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町
6,2018/10/28,日,千葉ジェッツ,千葉,AWAY,WIN,77,14:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５
6,2018/10/28,日,栃木ブレックス,栃木,AWAY,WIN,86,15:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
6,2018/10/28,日,ライジングゼファー福岡,福岡,AWAY,LOSE,88,15:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
6,2018/10/29,月,栃木ブレックス,栃木,AWAY,WIN,85,19:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
6,2018/10/29,月,シーホース三河,三河,AWAY,WIN,77,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
6,2018/10/30,火,シーホース三河,三河,AWAY,WIN,78,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
